beneficiary_sk,beneficiary_id,household_id,first_name,last_name,gender,date_of_birth,age,nationality,vulnerability_status,household_size,program_enrolled,registration_date,scd_start_date,scd_end_date,is_current,record_status,biometric_verified,protection_flag,notes
1,BEN-00001,HH-0052,Yusuf,Ahmed,Male,2007-05-14,17,Congolese,Refugee,11,Health,2022-08-17,2022-08-17,9999-12-31,1,Active,1,0,
2,BEN-00002,HH-0477,Hassan,Musa,Male,1958-05-29,66,Rohingya,IDP,12,Protection,2023-03-24,2023-03-24,9999-12-31,1,Active,0,0,
3,BEN-00003,HH-1430,Ibrahim,Ndlovu,Female,1950-08-01,74,Congolese,IDP,6,Health,2022-11-23,2022-11-23,9999-12-31,1,Active,1,0,
4,BEN-00004,HH-1653,Amina,Barre,Male,1980-11-09,44,Afghan,Refugee,9,Education,2023-06-26,2023-06-26,9999-12-31,1,Inactive,0,0,
5,BEN-00005,HH-1443,Fatima,Diallo,Male,2001-10-18,23,Ethiopian,Refugee,4,Health,2023-01-29,2023-01-29,9999-12-31,1,Active,0,0,
6,BEN-00006,HH-0728,Ali,Warsame,Male,1964-08-04,60,Nigerian,IDP,9,WASH,2024-01-29,2024-01-29,9999-12-31,1,Active,0,0,
7,BEN-00007,HH-1403,Halima,Diallo,Male,2007-06-02,17,South Sudanese,Host Community,7,Education,2023-03-26,2023-03-26,9999-12-31,1,Active,0,0,
8,BEN-00008,HH-0811,Mariam,Mohamed,Female,1969-01-28,55,Congolese,IDP,12,Education,2024-10-19,2024-10-19,9999-12-31,1,Inactive,0,1,
9,BEN-00009,HH-0284,Hassan,Barre,Male,1982-06-23,42,South Sudanese,Refugee,3,Shelter,2023-03-26,2023-03-26,9999-12-31,1,Inactive,0,0,
10,BEN-00010,HH-1221,Mariam,Jama,Female,1984-07-09,40,Rohingya,Refugee,11,Health,2024-02-21,2024-02-21,9999-12-31,1,Active,0,0,
11,BEN-00011,HH-0229,Yusuf,Kofi,Male,2018-12-15,6,Syrian,Refugee,12,Education,2023-11-28,2023-11-28,9999-12-31,1,Deceased,1,0,
12,BEN-00012,HH-1724,Hassan,Musa,Male,2006-02-05,18,Congolese,Host Community,3,Food Security,2023-09-04,2023-09-04,9999-12-31,1,Active,0,0,
13,BEN-00013,HH-1800,Yusuf,Ahmed,Male,1960-01-14,65,Sudanese,Stateless,2,Health,2024-01-14,2024-01-14,9999-12-31,1,Inactive,1,0,
14,BEN-00014,HH-1940,Hassan,Mohamed,Female,1961-07-09,63,Rohingya,Stateless,7,WASH,2024-08-31,2024-08-31,9999-12-31,1,Transferred,0,0,
15,BEN-00015,HH-0818,Halima,Barre,Female,2013-12-17,11,Somali,IDP,4,Health,2023-10-01,2023-10-01,9999-12-31,1,Active,0,0,
16,BEN-00016,HH-0015,Fatima,Diallo,Male,2002-10-17,22,Somali,Refugee,6,Health,2023-03-28,2023-03-28,9999-12-31,1,Active,0,1,
17,BEN-00017,HH-1482,Zainab,Musa,Female,1969-03-22,55,Sudanese,Returnee,7,WASH,2022-09-28,2022-09-28,9999-12-31,1,Active,0,1,
18,BEN-00018,HH-0842,Mariam,Diallo,Male,1981-10-14,43,South Sudanese,Returnee,12,Cash Assistance,2024-05-17,2024-05-17,9999-12-31,1,Inactive,1,0,
19,BEN-00019,HH-1099,Mariam,Mohamed,Female,1967-03-11,57,Congolese,Host Community,8,WASH,2023-01-25,2023-01-25,9999-12-31,1,Transferred,1,1,
20,BEN-00020,HH-0104,Hassan,Diallo,Male,1999-05-17,25,Sudanese,IDP,7,Livelihoods,2022-07-20,2022-07-20,9999-12-31,1,Active,0,0,
21,BEN-00021,HH-0005,Ibrahim,Warsame,Female,1964-10-08,60,Ethiopian,Returnee,12,Livelihoods,2024-02-16,2024-02-16,9999-12-31,1,Active,0,0,
22,BEN-00022,HH-1532,Halima,Diallo,Male,1955-04-01,69,Nigerian,Returnee,9,Shelter,2022-05-05,2022-05-05,9999-12-31,1,Active,0,0,
23,BEN-00023,HH-1219,Fatima,Ahmed,Female,1966-09-03,58,Somali,Stateless,4,Food Security,2022-05-21,2022-05-21,9999-12-31,1,Active,0,0,
24,BEN-00024,HH-1372,Halima,Ahmed,Female,1973-05-24,51,Afghan,IDP,11,Education,2023-02-23,2023-02-23,9999-12-31,1,Active,1,0,
25,BEN-00025,HH-0151,Hassan,Ahmed,Female,1991-02-12,33,Congolese,Host Community,2,WASH,2022-07-24,2022-07-24,9999-12-31,1,Active,1,1,
26,BEN-00026,HH-1253,Hassan,Diallo,Female,1998-09-26,26,Somali,IDP,5,Health,2023-09-12,2023-09-12,9999-12-31,1,Transferred,0,0,
27,BEN-00027,HH-1239,Ali,Ndlovu,Male,1974-06-08,50,Ethiopian,Stateless,8,Education,2023-08-01,2023-08-01,9999-12-31,1,Transferred,1,0,
28,BEN-00028,HH-1699,Yusuf,Diallo,Male,2006-11-27,18,Yemeni,IDP,11,Education,2024-05-17,2024-05-17,9999-12-31,1,Active,0,1,
29,BEN-00029,HH-0230,Fatima,Mohamed,Male,2000-04-27,24,Yemeni,Stateless,9,Shelter,2022-01-20,2022-01-20,9999-12-31,1,Active,1,0,
30,BEN-00030,HH-1841,Halima,Ahmed,Male,1982-09-18,42,Somali,Host Community,9,Protection,2022-03-23,2022-03-23,9999-12-31,1,Deceased,0,0,
31,BEN-00031,HH-2000,Omar,Kofi,Male,1971-03-29,53,Congolese,Host Community,7,WASH,2022-11-29,2022-11-29,9999-12-31,1,Active,0,0,
32,BEN-00032,HH-1759,Mariam,Ahmed,Male,1984-04-27,40,Syrian,Host Community,5,WASH,2022-03-21,2022-03-21,9999-12-31,1,Active,0,0,
33,BEN-00033,HH-0571,Fatima,Warsame,Female,1985-09-30,39,Rohingya,Returnee,11,Cash Assistance,2023-11-04,2023-11-04,9999-12-31,1,Transferred,1,0,
